subID,RT,faceChoice,carChoice,faceCorrect,carCorrect,cueIdx,coh1,coh2,stimOnsetTime,respTime,timeout,accuracy
1,967,0,1,0,1,2,0,1,387693,388660,0,1
1,717,0,1,0,1,2,0,1,391675,392392,0,1
1,566,1,0,1,0,2,0,1,395141,395707,0,1
1,717,0,1,0,1,1,0,1,398506,399223,0,1
1,666,0,1,0,1,0,0,1,402089,402755,0,1
1,600,1,0,1,0,0,0,1,405737,406337,0,1
1,633,0,1,0,1,2,0,1,409270,409903,0,1
1,733,1,0,1,0,0,0,1,412918,413651,0,1
1,800,1,0,1,0,0,1,0,416600,417400,0,1
1,566,0,1,0,1,1,0,1,420316,420882,0,1
1,633,0,1,1,0,2,1,0,423582,424215,0,0
1,700,0,1,0,1,1,0,1,427230,427930,0,1
1,633,1,0,1,0,2,0,1,430829,431462,0,1
1,633,1,0,1,0,2,1,0,434495,435128,0,1
1,633,1,0,1,0,1,0,1,437844,438477,0,1
1,617,1,0,1,0,0,0,1,441492,442109,0,1
1,783,0,1,0,1,2,0,1,444791,445574,0,1
1,584,1,0,0,1,1,1,0,448373,448957,0,0
1,966,0,1,0,1,2,1,0,451839,452805,0,1
1,650,1,0,1,0,0,1,0,455621,456271,0,1
1,899,1,0,1,0,0,0,1,458887,459786,0,1
1,917,1,0,1,0,0,1,0,462452,463369,0,1
1,617,0,1,0,1,1,1,0,466034,466651,0,1
1,650,0,1,0,1,1,1,0,469650,470300,0,1
1,1050,1,0,1,0,0,1,0,473182,474232,0,1
1,583,1,0,1,0,1,0,1,476864,477447,0,1
1,1150,1,0,1,0,2,1,0,480496,481646,0,1
1,567,0,1,1,0,1,1,0,484278,484845,0,0
1,516,1,0,1,0,2,0,1,487711,488227,0,1
1,733,1,0,1,0,2,1,0,490876,491609,0,1
1,517,0,1,0,1,1,0,1,494508,495025,0,1
1,699,0,1,0,1,0,0,1,497791,498490,0,1
1,916,1,0,1,0,1,0,1,501123,502039,0,1
1,633,0,1,0,1,1,1,0,504988,505621,0,1
1,583,1,0,1,0,2,0,1,508304,508887,0,1
1,600,0,1,0,1,0,1,0,511486,512086,0,1
1,666,0,1,0,1,0,0,1,514835,515501,0,1
1,550,0,1,0,1,0,0,1,518234,518784,0,1
1,633,0,1,1,0,0,1,0,521633,522266,0,0
1,566,1,0,1,0,2,0,1,525182,525748,0,1
1,633,0,1,0,1,0,1,0,528531,529164,0,1
1,550,0,1,0,1,1,1,0,532013,532563,0,1
1,916,1,0,1,0,1,1,0,535545,536461,0,1
1,549,0,1,1,0,0,1,0,539344,539893,0,0
